"","sent_pair_id","verb_id","verb","classification","IO","frequency_rank","diff_avg","diff_gpt2","diff_gpt2_med","diff_gpt2_large","diff_gpt2_xl","mean_z_DOsentence","mean_z_PDsentence","mean_scores_DOsentence","mean_scores_PDsentence","human_zdiff","human_sdiff"
"57",57,157,"hauled","alternating","longIndefinite",57,1.41530342102051,0.706003665924072,0.898531436920166,0.898531436920166,0.898531436920166,-0.571525278171543,0.740559148245404,29.25,82.4,1.31208442641695,53.15
"58",58,157,"hauled","alternating","shortIndefinite",57,1.20641355514526,0.954444408416748,1.17752456665039,1.17752456665039,1.17752456665039,-0.336122355800674,0.687576954064663,41.1904761904762,78.65,1.02369930986534,37.4595238095238
"59",59,159,"willed","alternating","longIndefinite",59,0.52544002532959,0.80549144744873,0.961195468902588,0.961195468902588,0.961195468902588,-0.508284344468713,-0.132723126936447,36,47.75,0.375561217532266,11.75
"60",60,159,"willed","alternating","shortIndefinite",59,0.583696269989014,0.742565155029297,0.815742015838623,0.815742015838623,0.815742015838623,-0.0178386314662653,0.245492629936349,54.4782608695652,63.05,0.263331261402614,8.57173913043478
"61",61,161,"mailed","alternating","longIndefinite",61,1.25239973068237,0.991672039031982,0.666342258453369,0.666342258453369,0.666342258453369,0.80915255736343,1.0720423487109,83.6,93.55,0.262889791347473,9.95
"62",62,161,"mailed","alternating","shortIndefinite",61,0.779428768157959,0.690866947174072,0.372354030609131,0.372354030609131,0.372354030609131,1.11870049298678,1.03166759929635,92.5,95.8095238095238,-0.0870328936904274,3.30952380952381
"63",63,163,"phoned","alternating","longIndefinite",63,1.02052974700928,0.642595767974854,0.705602169036865,0.705602169036865,0.705602169036865,0.344465555739756,0.720735478382613,66.9,80.4,0.376269922642858,13.5
"64",64,163,"phoned","alternating","shortIndefinite",63,0.812456607818604,0.840422630310059,1.03043842315674,1.03043842315674,1.03043842315674,0.517990438266752,0.727816319728323,75.85,83.6086956521739,0.209825881461571,7.75869565217391
"65",65,165,"flung","alternating","longIndefinite",65,1.38357629776001,1.4181056022644,1.547194480896,1.547194480896,1.547194480896,0.193699542138549,0.588764229385916,63.9523809523809,73.95,0.395064687247367,9.99761904761905
"66",66,165,"flung","alternating","shortIndefinite",65,0.930726432800293,0.828711032867432,0.548286437988281,0.548286437988281,0.548286437988281,0.662947819328821,0.761531746407767,79.2,83.6,0.0985839270789464,4.39999999999999
"67",67,167,"chucked","alternating","longIndefinite",67,0.756043910980225,0.832060575485229,1.14211297035217,1.14211297035217,1.14211297035217,-0.324004858445078,0.889799127520352,47.4782608695652,88.15,1.21380398596543,40.6717391304348
"68",68,167,"chucked","alternating","shortIndefinite",67,0.842481994628906,1.01453304290771,0.737798690795898,0.737798690795898,0.737798690795898,0.461537410431051,1.00271111840454,71.3,91.15,0.541173707973488,19.85
"69",69,169,"repaid","alternating","longIndefinite",69,1.41731872558594,1.38819646835327,1.15364503860474,1.15364503860474,1.15364503860474,0.645983690515371,0.933132123049114,76.8,91.6666666666667,0.287148432533742,14.8666666666667
"70",70,169,"repaid","alternating","shortIndefinite",69,1.12197322845459,1.18703460693359,0.969171524047852,0.969171524047852,0.969171524047852,0.890320767608894,1.0439200317821,88.05,92.95,0.153599264173208,4.90000000000001
"71",71,171,"wheeled","alternating","longIndefinite",71,1.41110877990723,1.63294458389282,1.71844148635864,1.71844148635864,1.71844148635864,0.262626459505813,0.770179174034249,65.35,85.5652173913043,0.507552714528436,20.2152173913043
"72",72,171,"wheeled","alternating","shortIndefinite",71,1.11317024230957,0.826197147369385,1.16772413253784,1.16772413253784,1.16772413253784,0.348267727747321,0.619140815098142,66.45,76.05,0.270873087350821,9.59999999999999
"73",73,173,"hurled","alternating","longIndefinite",73,1.30848751068115,1.04122257232666,1.79996585845947,1.79996585845947,1.79996585845947,-0.00543118471855707,0.806793594046775,51.7,84.55,0.812224778765332,32.85
"74",74,173,"hurled","alternating","shortIndefinite",73,1.05608749389648,1.33000755310059,1.24503564834595,1.24503564834595,1.24503564834595,0.657310315238977,0.868581602054396,81.6190476190476,84.75,0.211271286815419,3.13095238095238
"75",75,175,"faxed","alternating","longIndefinite",75,1.499378490448,0.992196559906006,1.13905096054077,1.13905096054077,1.13905096054077,0.254008402973407,0.872228046109377,63.5,86.55,0.61821964313597,23.05
"76",76,175,"faxed","alternating","shortIndefinite",75,1.28251152038574,0.833974838256836,0.920340538024902,0.920340538024902,0.920340538024902,0.932702158017292,1.12776064572167,91.7391304347826,95.85,0.195058487704379,4.11086956521739
